Store,City,Website,Contact,Notes,Region
Prairie Lights Books,"Iowa City, IA",prairielights.com,info@prairielights.com,Near Iowa Writers' Workshop; literary and ideas nonfiction; active reading series,United States — Independent Bookstores
Quail Ridge Books,"Raleigh, NC",quailridgebooks.com,books@quailridgebooks.com,NC's top indie; strong nonfiction; near NC State and Duke corridor,United States — Independent Bookstores
Scuppernong Books,"Greensboro, NC",scuppernongbooks.com,scuppernongbooks@gmail.com,Literary indie; 250+ events/year; philosophy and science nonfiction,United States — Independent Bookstores
Avid Bookshop,"Athens, GA",avidbookshop.com,events@avidbookshop.com,Near University of Georgia; strong nonfiction and literary titles,United States — Independent Bookstores
The Regulator Bookshop,"Durham, NC",regulatorbookshop.com,regulatorbookshop.com,Near Duke University; strong academic and literary nonfiction,United States — Independent Bookstores
Bookmarks,"Winston-Salem, NC",bookmarksnc.org,bookmarksnc.org,NC literary nonprofit; hosts major book festival; curated nonfiction,United States — Independent Bookstores
Malaprop's Bookstore,"Asheville, NC",malaprops.com,malaprops.com/contact,Western NC's leading indie; active events; curated nonfiction,United States — Independent Bookstores
Left Bank Books,"St. Louis, MO",left-bank.com,left-bank.com/contact,St. Louis indie institution; progressive nonfiction including philosophy,United States — Independent Bookstores
Literati Bookstore,"Ann Arbor, MI",literatibookstore.com,literatibookstore.com/contact,Near University of Michigan; strong academic and ideas nonfiction,United States — Independent Bookstores
Brilliant Books,"Traverse City, MI",brilliant-books.net,life@Brilliant-Books.net,National shipping; personal curation; strong ideas/nonfiction focus,United States — Independent Bookstores
Fact & Fiction Books,"Missoula, MT",factandfictionbooks.com,factandfictionbooks.com,University of Montana town; strong nonfiction and ideas,United States — Independent Bookstores
Magic City Books,"Tulsa, OK",magiccitybooks.com,magiccitybooks.com,Nonprofit-owned literary indie; curated narrative nonfiction,United States — Independent Bookstores
The King's English,"Salt Lake City, UT",kingsenglishbookshop.com,kingsenglishbookshop.com,Utah's premier indie since 1977; strong nonfiction curation,United States — Independent Bookstores
Elliott Bay Book Co.,"Seattle, WA",elliottbaybook.com,elliottbaybook.com,Seattle landmark; strong nonfiction and philosophy; active event calendar,United States — Independent Bookstores
Third Place Books,"Seattle, WA (multiple)",thirdplacebooks.com,kimh@thirdplacebooks.com,Seattle institution; strong nonfiction; multiple locations,United States — Independent Bookstores
Auntie's Bookstore,"Spokane, WA",auntiesbooks.com,auntiesbooks.com/contact,Pacific NW indie; strong ideas/nonfiction sections,United States — Independent Bookstores
Penguin Bookshop,"Sewickley, PA",penguinbookshop.com,penguinbookshop.com,Pittsburgh-area indie since 1929; strong nonfiction; loyal community,United States — Independent Bookstores
Northshire Bookstore,"Manchester, VT + Saratoga Springs, NY",northshire.com,northshire.com/contact,VT/NY indie; curated philosophy and nonfiction,United States — Independent Bookstores
Atomic Books,"Baltimore, MD",atomicbooks.com,atomicbooks.com,Baltimore indie; eclectic nonfiction; strong alt-intellectual tradition,United States — Independent Bookstores
Kinokuniya USA,"New York, NY + West Coast",usa.kinokuniya.com,nyso@kinokuniya.com (East) / sales@kinokuniya.com (West),Japanese-linked chain; multilingual nonfiction; strong Eastern philosophy sections,United States — Independent Bookstores
Harvard COOP Bookstore,"Cambridge, MA",harvardcoopbooks.bncollege.com,customerservice@thecoop.com,"Official Harvard bookstore; academic philosophy, science, Eastern studies",United States — University Bookstores
MIT COOP,"Cambridge, MA",thecoop.com,customerservice@thecoop.com,"MIT campus; science, technology, philosophy; natural AI/philosophy audience",United States — University Bookstores
Stanford Bookstore,"Stanford, CA",bkstr.com/stanfordstore,bkstr.com/stanfordstore,"Academic philosophy, technology, science; proximity to AI research community",United States — University Bookstores
Barnes & Noble (corporate),barnesandnoble.com,publisherauthorinquiry@bn.com,600+ US stores; book already listed; pitch for additional placement/features,United States — Major Chains
Barnes & Noble (local stores),barnesandnoble.com,Contact local managers,Consignment approach works store-by-store; start with 5–10 near author's location,United States — Major Chains
Waterstones (HQ / indie publishers),London / UK-wide,waterstones.com,ipc@waterstones.com,UK's dominant chain (280+ stores); independent publisher coordinator,United Kingdom
Blackwell's Oxford,Oxford,blackwells.co.uk,oxford@blackwell.co.uk,"Largest academic bookstore in UK; philosophy, Eastern studies, science/tech",United Kingdom
Foyles,London,foyles.co.uk,customerservices@foyles.co.uk,"Major London flagship; 200,000+ titles; philosophy and science sections",United Kingdom
London Review Bookshop,London,londonreviewbookshop.co.uk,bookshop@lrbbookshop.co.uk,"Run by LRB; philosophy, politics, history, essays are its identity",United Kingdom
Daunt Books,London (8 locations),dauntbooks.co.uk,dauntbooks.co.uk/contact/,Expanded to broad literary nonfiction; curated collections,United Kingdom
Burley Fisher Books,London (Hackney),burleyfisher.co.uk,burleyfisher.co.uk,East London indie; curated philosophy and social theory,United Kingdom
Review Bookshop,"Peckham, London",reviewbookshop.co.uk,reviewbookshop.co.uk,"""Intelligently curated"" indie; strong nonfiction and philosophy",United Kingdom
Pages of Hackney,London,pagesofhackney.co.uk,pagesofhackney.co.uk,Curation-focused East London indie; philosophy well-represented,United Kingdom
Chapters/Indigo (chain),Canada-wide,chapters.indigo.ca,NewPublisher@indigo.ca / newauthor@indigo.ca,Canada's largest chain (200+ stores); dedicated new-author and new-publisher contacts,Canada
McNally Robinson Booksellers,Winnipeg & Saskatoon,mcnallyrobinson.com,info@grant.mcnallyrobinson.ca,Major Canadian indie; strong literary nonfiction and philosophy,Canada
Ben McNally Books,"Toronto, ON",benmcnallybooks.com,info@benmcnallybooks.com,"Boutique Toronto indie; history, biography, nonfiction focus",Canada
TYPE Books,"Toronto, ON (3 locations)",typebooks.ca,info@typebooks.ca,Curated Toronto indie; strong Canadian and international nonfiction,Canada
Librairie Drawn & Quarterly,"Montreal, QC",mtl.drawnandquarterly.com,librairie@drawnandquarterly.com,Montreal literary institution; English literary nonfiction and essays,Canada
Pages on Kensington,"Calgary, AB",pageskensington.com,jeremy.pagesbooks@gmail.com,Calgary's oldest indie; philosophy and academic titles,Canada
Owl's Nest Books,"Calgary, AB",owlsnestbooks.com,owlsnestbooks.com (phone: 403-287-9557),Calgary indie since 1975; general nonfiction including philosophy,Canada
"Readings (chain, 9 stores)","Melbourne, VIC",readings.com.au,readings.com.au/contact-us,Australia's most celebrated indie chain; strong philosophy and nonfiction,Australia
Gleebooks,"Glebe, Sydney, NSW",gleebooks.com.au,gleebooks.com.au/contact/,Sydney's leading indie; philosophy and social theory are explicit specialties,Australia
Abbey's Bookshop,"Sydney, NSW",abbeys.com.au,orders@abbeys.com.au,"Sydney CBD institution since 1968; philosophy, history, science",Australia
Avid Reader Bookshop,"West End, Brisbane, QLD",avidreader.com.au,avidreader.com.au (CONTACT page),Brisbane indie since 1997; quality nonfiction including philosophy and science,Australia
New Edition Bookshop,"Fremantle, WA",newedition.com.au,fremantle@newedition.com.au,"Fremantle arts precinct; philosophy, art, science",Australia
"Dymocks (chain, 50+ stores)",Australia-wide,dymocks.com.au,dymocks.com.au/contact,Major Australian chain; broad nonfiction including philosophy,Australia
The Nile (online),Australia,thenile.com.au,info@thenile.com.au,Major Australian online bookseller; good for online listing,Australia
Atta Galatta,Bangalore,attagalatta.com,hello@attagalatta.com,Premier Bangalore literary indie; philosophy and ideas events; ships pan-India,India
Champaca Bookstore,Bangalore,champaca.in,hello@champaca.in,Women-run curated indie; explicit philosophy shelf; strong online India presence,India
Blossom Book House,Bangalore,blossombookhouse.in,blossombookhouse@rediffmail.com,"Church Street institution; stocks Sanskrit, philosophy; ships nationally",India
Bookworm,Bangalore,"(Church Street, Bangalore)",Via store directly,"Church Street institution; spirituality, science, philosophy sections",India
Bahrisons Booksellers,"Khan Market, New Delhi",booksatbahri.com,bahrisons@outlook.com,Family-run since 1953; huge philosophy range; ships India and globally,India
Full Circle Bookstore,"Khan Market & GK-1, New Delhi",fullcirclebooks.in,fullcirclebooks.in/index.php?route=information/contact,Delhi literary indie; broad nonfiction and philosophy; two locations,India
Midland The Book Shop,"Hauz Khas, New Delhi",midlandbookshop.com,read@midlandbookshop.com,"Legendary Delhi indie since 1978; academic, philosophy, nonfiction",India
"The Bookshop, Jor Bagh","Jor Bagh, New Delhi",Instagram: @_thebookshopjb,thebookshopjb@gmail.com,Curated New Delhi indie; breaks from bestseller culture; author readings,India
Kitab Khana,"Fort, Mumbai",kitabkhana.in,enquire@kitabkhana.in,"Mumbai institution; world literature, classics, philosophy; iconic building",India
Granth Book Store,"Juhu, Mumbai",granth.com,granth.com,One of Mumbai's largest; philosophy and popular science sections,India
Crossword Bookstores (chain),Pan-India (40+ cities),crossword.in,crossword.in/pages/contact-us,Major Indian chain; 40+ stores across 40 cities; broad nonfiction stock,India
Oxford Bookstore India,"Delhi, Mumbai, Kolkata",oxfordbookstore.com,oxfordbookstore.com/contact,"Pan-India chain; academic books, nonfiction, and philosophy",India
Om Books International,New Delhi / Noida,ombooksinternational.com,sales@ombooks.com,Major Indian publisher + retailer; distribution network across India,India
Starmark India,Kolkata,starmarkindia.com,starmarkindia.com/contact,Major Kolkata chain; strong academic and nonfiction sections,India
Hyderabad Book Trust,Hyderabad,hyderabadbooktrust.com,hyderabadbooktrust@gmail.com,Not-for-profit literary bookstore; progressive nonfiction including philosophy,India
Eloor Libraries,"Kochi & Trivandrum, Kerala",eloorlibraries.in,eloorlibraries.in/contact.html,Famous Kerala lending library/bookstore; explicit philosophy section,India
Shakespeare and Company,"Paris, France",shakespeareandcompany.com,info@shakespeareandcompany.com,"Iconic English-language Paris bookshop; philosophy, history, nonfiction",International
Librairie Mollat,"Bordeaux, France",mollat.com,service-client@mollat.com,"France's largest independent; 180,000 references; philosophy section",International
Kinokuniya Singapore,Singapore,sg.kinokuniya.com,sg@kinokuniya.com,Major Asia-Pacific chain; extensive English nonfiction including Eastern philosophy,International
Times Bookstores,Singapore,timesbookstores.com.sg,timesbookstores.com.sg,Singapore's leading chain; nonfiction and philosophy sections,International
Chapter One Books,"Dubai, UAE",Chapter1books.com,Chapter1books.com,English-language Dubai indie; nonfiction and philosophy; growing readership,International
Channel,Action,International
Ingram Content Group,Most important step — ensure IngramSpark listing so stores can order without calling you,International
NielsenIQ BookData,Required for Waterstones and most UK retailers,International
Barnes & Noble,Already listed; pitch for staff picks/placement via publisherauthorinquiry@bn.com,International
India distribution,"Approach Crossword, Oxford Bookstore, and Om Books with a local consignment offer",International
Powell's,"Must be on Ingram, NOT Amazon KDP expanded distribution",International
